Name,Phone,Email,All Emails,Address,Website,Category,Rating,Reviews,Priority,Score,Flags,Latitude,Longitude,Source Query
"Al Ghurair Property Management","+971 4 205 3555","","","Al Rigga Rd - Al Muraqqabat - Deira - Dubai - United Arab Emirates","https://alghurairpropertymanagement.com/en?utm_source=google&utm_medium=local&utm_campaign=google_business_profile","Leasing service",,4.1,MEDIUM,55,"",,,"property management companies Deira Dubai"
"Management Office - Heirs of Hamel bin Khadem Al Ghaith","+971 4 226 2901","","","Al Khor Building - 12 Al Daghaya St - Al Daghaya - Deira - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Management%20Office%20-%20Heirs%20of%20Hamel%20bin%20Khadem%20Al%20Ghaith&query_place_id=ChIJ6-4pAJZDXz4RI50OgSuysws","Property management company",,5,LOW,40,"",,,"property management companies Deira Dubai"
"US Guest House Deira","+971 52 689 0963","","","deira - 16 26th St - Al Muteena - Deira - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=US%20Guest%20House%20Deira&query_place_id=ChIJfaq8YQ9dXz4R9akgKGIuuN4","Property management company",,5,LOW,40,"",,,"property management companies Deira Dubai"
"Abraj Al Arab Facilities Management Services","+971 50 106 9449","","","534-536, Block-B, Dubai Economy, Building - Clock Tower Roundabout - Deira - Dubai - United Arab Emirates","https://abraj-alarab.com/","Property management company",,5,MEDIUM,55,"",,,"property management companies Deira Dubai"
"Heptagon Properties","+971 4 262 4033","","","Deira, Al Ansari Building - Port Saeed - Deira - Dubai - United Arab Emirates","https://heptagonproperties.com/","Property management company",,5,MEDIUM,55,"",,,"property management companies Deira Dubai"
"APIL Properties- Azur Properties Investment Limited","+971 58 511 2282","","","Supreme Court Complex - 5 - 1st Floor - Office No: 112 Riyadh St - Umm Hurair Second - Umm Hurair 1 - Dubai - United Arab Emirates","https://www.apilproperties.com/","Real estate agent",,4.6,MEDIUM,55,"",,,"property management companies Deira Dubai"
"AFFORDABLE HOMES PROPERTIES","+971 50 524 0051","","","Deira - Office No.403, Al Masood Tower - 2nd St - Port Saeed - Dubai - United Arab Emirates","https://ahproperties.ae/","Property management company",,5,MEDIUM,55,"",,,"property management companies Deira Dubai"
"Bin Jaffar Real Estate","+971 4 294 4446","","","29 4B St - Port Saeed - Deira - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Bin%20Jaffar%20Real%20Estate&query_place_id=ChIJoT6Y_91cXz4RWgs1uWxbpl8","Property management company",,4.9,LOW,40,"",,,"property management companies Deira Dubai"
"BLUE DIAMOND FACILITIES MANAGEMENT SERVICES L.L.C","+971 4 254 5445","","","شارع ١١ - Port Saeed - Deira - Dubai - United Arab Emirates","https://bluediamondfm.com/","Property management company",,4.7,MEDIUM,55,"",,,"property management companies Deira Dubai"
"Asly Facilities Management","+971 58 158 1651","","","Hyatt Regency - Al Corniche - Deira - Dubai - United Arab Emirates","http://www.aslyfm.com/","Property management company",,4.9,MEDIUM,55,"",,,"property management companies Deira Dubai"
"Belhasa Real Estate LLC","+971 800 3144","","","Deira - Office 101, Head Office Building - Hor Al Anz - Dubai - United Arab Emirates","http://belhasarealestate.com/","Property management company",,4.6,MEDIUM,55,"",,,"property management companies Deira Dubai"
"Blue Diamond General Maintenance LLC","+971 4 254 5445","","","NEAR EPCO PETROL, Al Ansari Building - Street # 11A - Port Saeed - Dubai - United Arab Emirates","https://bluediamondfm.com/","Property management company",,4.8,MEDIUM,55,"",,,"property management companies Deira Dubai"
"AVC PROPERTIES","+971 4 554 0430","","","Saud Al Qasimi Building - Salah Al Din St - Al Muteena - Deira - Dubai - United Arab Emirates","http://avcholding.com/","Property management company",,5,MEDIUM,55,"",,,"property management companies Deira Dubai"
"Key Worth Properties LLC","+971 4 294 5228","","","Deira - Office no. 1107 | Centurion Star – Tower A | - Port Saeed - Dubai - United Arab Emirates","http://www.keyworthproperties.com/","Property investment company",,4.7,MEDIUM,55,"",,,"property management companies Deira Dubai"
"Abdul Noor Al Rais Group","+971 55 105 5588","","","Abu Baker Al Siddique St - Port Saeed - Deira - Dubai - United Arab Emirates","http://www.anrg.ae/","Property management company",,4.2,MEDIUM,55,"",,,"property management companies Deira Dubai"
"ASICO Property Management","+971 4 297 1111","","","13 45A St - Al Muraqqabat - Deira - Dubai - United Arab Emirates","http://www.asico.ae/","Property management company",,3.8,MEDIUM,55,"",,,"property management companies Deira Dubai"
"Al Raea Real Estate","+971 4 268 1833","","","Salahuddin Road, 704 Bin Sougat Building - Dubai - United Arab Emirates","http://www.alraea.com/","Property management company",,4.2,MEDIUM,55,"",,,"property management companies Deira Dubai"
"Landcom Real Estate LLC.","+971 4 222 1226","","","Al Qassimi Building - 1 - M04 Salah Al Din St - opp. Reef Mall - Al Muteena - Deira - Dubai - United Arab Emirates","http://landcomre.com/","Property management company",,4.5,MEDIUM,55,"",,,"property management companies Deira Dubai"
"Emirates Properties","+971 4 321 0000","","","Office Tower, Al Ghurair Centre - No. 839, 8th Floor - Al Muraqqabat - Deira - Dubai - United Arab Emirates","http://www.emiratesproperties.com/","Property management company",,4,MEDIUM,55,"",,,"property management companies Deira Dubai"
"Silver Keys Real Estate L.L.C - Real Estate Company in Dubai","+971 55 533 9696","","","Deira - Dubai ​Al Fahad Building​ Abu Hail 1st Floor Office 115 - Dubai - United Arab Emirates","https://www.silverkeys.ae/","Real estate agent",,4.2,MEDIUM,55,"",,,"property management companies Deira Dubai"
"Dar Al Yaqut Property Management L.L.C","+971 4 591 4419","","","806, 8th Floor, Dubai National Insurance Building, Port Saeed - Deira - Dubai - United Arab Emirates","http://www.daralyaqut.com/","Property investment company",,4.8,MEDIUM,55,"",,,"property management companies Deira Dubai"
"Cozy Home Rental @ Deira","+971 58 652 4859","","","129 Omar Bin Al Khattab St - Al Muraqqabat - Deira - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Cozy%20Home%20Rental%20%40%20Deira&query_place_id=ChIJVfHnRpj5XgwRtHi1CJD9QvY","Real estate rental agency",,5,LOW,40,"",,,"rental homes Deira Dubai"
"Wael Madi Vacation Homes Rental LLC","+971 50 697 4142","","","784G+WPP - Office F-09 Clock Tower Roundabout - Port Saeed - Deira - Dubai - United Arab Emirates","https://waelhomesdubai.com/","Holiday apartment rental",,2.7,MEDIUM,55,"",,,"rental homes Deira Dubai"
"DXBRenter","+971 55 799 9580","","","IBIS Hotel, Business Center - 1F - Al Rigga Rd - Al Muraqqabat - Deira - Dubai - United Arab Emirates","https://www.dxbrenter.com/","Retail space rental agency",,5,MEDIUM,55,"",,,"rental homes Deira Dubai"
"Videsh Real Estate LLC","+971 58 518 4888","","","Burjuman 1336, Business Tower - 13th Floor - Al Mankhool - Dubai - United Arab Emirates","https://www.videshholdings.com/","Real estate consultant",,3.7,MEDIUM,55,"",,,"real estate companies Burjuman Dubai"
"AbdulAziz Al Majid","+971 4 266 4116","","","Deira Al Murraqabat Road, Mezzanine Floor, Office 8 - Dubai - United Arab Emirates","http://www.aam.ae/","Real estate developer",,3.5,MEDIUM,55,"",,,"real estate developer Deira Dubai"
"Goprop Luxury Real Estate L.L.C","+971 50 980 5252","","","L13/02 Burjuman Business Tower, plot no - 460 - Al Mankhool - area - Dubai - United Arab Emirates","https://goproprealestate.ae/","Industrial real estate agency",,,MEDIUM,55,"",,,"real estate companies Burjuman Dubai"
"Valor Real Estate","+971 4 718 1421","","","Office 517, Sultan Business Center ( Next to Lamcy Plaza - Oud Metha - Dubai - United Arab Emirates","https://www.valorealestate.com/","Real estate agent",,4.9,MEDIUM,55,"",,,"realtors Deira Dubai"
"Al Maskan Real Estate LLC","+971 4 352 2122","","","Sharaf Building - Showroom 5 - Al Mina St - Bur Dubai - Dubai - United Arab Emirates","https://www.almaskan.com/","Real estate consultant",,3.8,MEDIUM,55,"",,,"real estate companies Burjuman Dubai"
"Shark Real Estate LLC","+971 58 156 5975","","","Adel Ahmed Al Wahedi, Building - 722 - Deira - Dubai - United Arab Emirates","https://sharkrealestate.ae/","Real estate agency",,3.8,MEDIUM,55,"",,,"realtors Deira Dubai"
"Grand Properties Real Estate Developer","+971 4 220 6313","","","Al Mezan Tower - Muhaisanah Fourth - Muhaisnah 4 - Dubai - United Arab Emirates","http://www.grandproperties.ae/","Real estate developer",,4.1,MEDIUM,55,"",,,"real estate developer Deira Dubai"
"Ridhira Realty LLC","+971 56 170 5995","","","Biz space, Business Center - Al Muraqqabat - Deira - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Ridhira%20Realty%20LLC&query_place_id=ChIJFVn4d3beC6gRW9trkydvsn0","Industrial real estate agency",,5,LOW,40,"",,,"realtors Deira Dubai"
"Homestead Realtors Real Estate LLC","+971 52 877 8240","","","Deira - office #718, B Block - Business Village - Port Saeed - Dubai - United Arab Emirates","https://www.homesteadrealtors.ae/","Real estate agency",,3,MEDIUM,55,"",,,"realtors Deira Dubai"
"KHR Real Estate","+971 4 271 7211","","","Fish Roundabout - Al Rigga - Deira - Dubai - United Arab Emirates","http://www.khrrealestate.ae/","Real estate agent",,4.1,MEDIUM,55,"",,,"realtors Deira Dubai"
"Rza Realty","+971 50 252 3734","","","Arab Bank Building - RZA Realty LLC - Port Saeed - M 09 - Dubai - United Arab Emirates","https://www.rzarealty.com/","Industrial real estate agency",,4.9,MEDIUM,55,"",,,"realtors Deira Dubai"
"The Smart Homes Real Estate LLC","+971 52 908 3635","","","Al Mamzar - Office# 1101-34 AB Plaza 08 - Dubai - United Arab Emirates","http://thesmarthomerealestate.com/","Real estate agency",,4.2,MEDIUM,55,"",,,"realtors Deira Dubai"
"Elite Estates Real Estate Broker L.L.C","+971 4 347 2217","","","Red Avenue, 204 - Dubai - United Arab Emirates","http://www.eliteestates.ae/","Real estate agency",,4.2,MEDIUM,55,"",,,"realtors Deira Dubai"
"MMY Real Estate","+971 56 740 0777","","","Al Rigga Rd - Al Muraqqabat - Deira - Dubai - United Arab Emirates","https://www.mmyrealestate.com/","Real estate agency",,5,MEDIUM,55,"",,,"realtors Deira Dubai"
"KL Maqan for Buying and Selling of Real Estate","+971 50 409 9635","","","Arabilla Building - Hor Al Anz East - Deira - Dubai - United Arab Emirates","https://klmaqan.org/","Real estate agency",,4.7,MEDIUM,55,"",,,"realtors Deira Dubai"
"Eminent Oasis Real Estate","+971 4 272 9920","","","Block B, Business Village 717 Dubai - Deira - Dubai - United Arab Emirates","https://www.eminentoasisrealestate.com/","Real estate agency",,5,MEDIUM,55,"",,,"realtors Deira Dubai"
"D Realtors","+971 4 547 2011","","","Suite 604, City Avenue Building - Road - opposite to Deira City Centre - Port Saeed - Deira - Dubai - United Arab Emirates","https://www.drealtors.com/","Property management company",,5,MEDIUM,55,"",,,"realtors Deira Dubai"
"Jukaku Real Estate","+971 4 254 3643","","","31 34th St - Port Saeed - Deira - Dubai - United Arab Emirates","http://www.jukakurealestate.com/","Industrial real estate agency",,4.2,MEDIUM,55,"",,,"realtors Deira Dubai"
"Homesphere Real Estate LLC","+971 50 265 5686","","","Golf Park Building, Payless Business Center , Mezzanine Floor 1 - Al Garhoud - Dubai - United Arab Emirates","https://homespheregroup.com/?utm_source=Google+&utm_medium=Google+Business+Profile+&utm_campaign=Traffic+&utm_id=GBP+","Real estate agency",,4.8,MEDIUM,55,"",,,"realtors Deira Dubai"
"Orville Real Estate","+971 4 333 3983","","","Buhaleeba plaza-Dominos Pizza Building-5th floor - Al Muraqqabat - Dubai - United Arab Emirates","http://orvillerealestate.com/","Real estate agency",,2.4,MEDIUM,55,"",,,"realtors Deira Dubai"
"Imperial Star Real Estate","+971 50 617 3684","","","Creek, Al Masraf Building - 1303 - Baniyas Rd - Al Rigga - Deira - Dubai - United Arab Emirates","https://isrealty.ae/","Real estate agency",,4.5,MEDIUM,55,"",,,"realtors Deira Dubai"
"Naseem Albahar Real Estate","+971 50 827 7998","","","Business village B / floor 6 / office 631 - Dubai - United Arab Emirates","https://naseemalbahar-realestate.com/","Real estate agency",,4.5,MEDIUM,55,"",,,"realtors Deira Dubai"
"Ultimate Realty","+971 4 570 1258","","","Silver Home Building - Office # M.04-36 - Abu Hail St - Hor Al Anz East - Deira - Dubai - United Arab Emirates","https://ultimatereality.ae/","Commercial real estate agency",,4.5,MEDIUM,55,"",,,"realtors Deira Dubai"
"Meem Realty Brokers LLC","+971 55 509 6060","","","403 Ascon House - Salah Al Din St - Dubai - United Arab Emirates","http://www.meemrealty.com/","Real estate agency",,5,MEDIUM,55,"",,,"realtors Deira Dubai"
"ARK Real Estate Dubai","+971 58 627 8678","","","Metha Plaza Building B 313 - Oud Metha - Dubai - United Arab Emirates","https://arkrealestatedubai.com/","Real estate agent",,4.7,MEDIUM,55,"",,,"realtors Deira Dubai"
"House Masters Real Estate LLC","+971 4 595 1000","","","Deira - Office-104, 1st floor, Obaid Khalifa Bin Humaidan bldg - Al Khabaisi - Dubai - United Arab Emirates","http://www.housemasters.ae/","Real estate agency",,4.6,MEDIUM,55,"",,,"realtors Deira Dubai"
"GH REALTY","+971 54 211 5968","","","Al Falasi Building - Showroom #1 Salah Al Din St - Hor Al Anz - Deira - Dubai - United Arab Emirates","https://ghrealty.ae/","Real estate agency",,5,MEDIUM,55,"",,,"realtors Deira Dubai"
"ETA Star Property Developers LLC","+971 4 268 7222","","","788J+W2F - Abu Baker Al Siddique St - Al Muraqqabat - Deira - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=ETA%20Star%20Property%20Developers%20LLC&query_place_id=ChIJewR7EcRcXz4RcE82AridT74","Real estate developer",,3.2,LOW,40,"",,,"real estate developer Deira Dubai"
"Nexus Developer","+971 50 476 7339","","","Business Center - S-11 Ground floor - Al Garhoud - Dubai - United Arab Emirates","https://www.nexusdeveloper.com/","Real estate developer",,5,MEDIUM,55,"",,,"real estate developer Deira Dubai"
"Nova Power Real Estate Developer","+971 4 327 5988","","","Al naboodha Building E office 503,504 - Dubai - United Arab Emirates","http://www.novapower.ae/","Real estate developer",,,MEDIUM,55,"",,,"real estate developer Deira Dubai"
"Al Gurg Real Estate","+971 4 227 9479","","","Al Gurg Tower 1 - Al Gurg Tower 1, 13th Floor, Deira - Baniyas Rd - Riggat Al Buteen - Dubai - United Arab Emirates","https://www.algurg.com/Portfolio/10/Real-Estate/8/ESAG-Real-Estate","Real estate developer",,4.1,MEDIUM,55,"",,,"real estate developer Deira Dubai"
"SP International Property Developers LLC, Dubai, UAE","+971 4 321 2545","","","Opal Tower - 401 Al Ohood Street - Business Bay - Dubai - United Arab Emirates","https://www.shapoorjiproperties.com/","Real estate developer",,4.6,HIGH,70,"TARGET_LOCATION",,,"real estate developer Deira Dubai"
"Arvista realty LLC","+971 50 906 7635","","","Burjuman, Business Tower - 20th floor - Al Mankhool - Dubai - United Arab Emirates","https://arvistarealty.com/","Commercial real estate agency",,4.7,MEDIUM,55,"",,,"real estate companies Burjuman Dubai"
"Indus Real Estate LLC","+971 4 351 9995","","","Khalid Bin Al Waleed Road (Computer Street) - Al Souq Al Kabeer - Al Fahidi - Dubai - United Arab Emirates","https://www.indusre.com/","Real estate agency",,3.9,MEDIUM,55,"",,,"real estate companies Burjuman Dubai"
"Sultan Khalifa Al Habtoor Real Estate Establishment","+971 4 352 3388","","","773X+JXG - Al Mankhool - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Sultan%20Khalifa%20Al%20Habtoor%20Real%20Estate%20Establishment&query_place_id=ChIJr0SD3CRDXz4RnKXdVDXHs3g","Real estate agency",,5,LOW,40,"",,,"real estate companies Burjuman Dubai"
"Googee Global Real Estate","+971 52 583 1684","","","Burjuman - Office #708, 7th floor, The Business Center building - Metro station - behind gate#4 - Dubai - United Arab Emirates","https://googeeglobal.com/","Real estate consultant",,5,MEDIUM,55,"",,,"real estate companies Burjuman Dubai"
"Aalmar Real Estate Broker","+971 50 276 7550","","","metro - 401, Floor 4, One Deira Plaza - Exit 3 - above Gold Souq - Deira - Dubai - United Arab Emirates","http://www.aalmargroup.com/","Real estate agency",,5,MEDIUM,55,"",,,"real estate companies Deira Dubai"
"Alif Holiday Homes","+971 58 522 1235","","","534-536, Block B, Dubai Economy building clock tower - Deira - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Alif%20Holiday%20Homes&query_place_id=ChIJoc9CcLpdXz4RewmDGxJX2oE","Vacation home rental agency",,,LOW,40,"",,,"rental homes Deira Dubai"
"MOR HOMES REAL ESTATE","+971 4 344 9282","","","27 32 St - Port Saeed - Deira - Dubai - United Arab Emirates","https://morreal.com/","Real estate agency",,4.6,MEDIUM,55,"",,,"realtors Deira Dubai"
"First Dimentions Vacation Homes Rental LLC","+971 4 665 8220","","","Sadaf Restaurant Building, Riqqa Al Buteen Plaza - Office 404 - Al Maktoum Rd - Dubai - United Arab Emirates","https://firstdimentions.com/","Vacation home rental agency",,5,MEDIUM,55,"",,,"rental homes Deira Dubai"
"Urban Caves Holiday Homes","+971 55 755 2334","","","Ascon House - Office 818 - Al Muteena - Deira - Dubai - United Arab Emirates","https://www.urbancaves.ae/","Vacation home rental agency",,5,MEDIUM,55,"",,,"rental homes Deira Dubai"
"Alsahra Alkhadra Vacation Homes","+971 50 406 7860","","","78G6+HH4 Freej - Al Murar - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Alsahra%20Alkhadra%20Vacation%20Homes&query_place_id=ChIJsW0BHS9DXz4RBiI8SZ2PoWY","Vacation home rental agency",,5,LOW,40,"",,,"rental homes Deira Dubai"
"Dream Realty","+971 4 422 0701","","","Office No. 703, Saheel Tower - 2 Al Ittihad Rd - Al Nahda 1 - Dubai - United Arab Emirates","http://www.dreamrealty.ae/","Real estate agency",,4.8,MEDIUM,55,"",,,"realtors Deira Dubai"
"R&AA Properties LLC","+971 4 346 3404","","","AGC offices Entrance, Al Ghurair Center - Floor 539E - 35th St - Al Muraqqabat - Deira - Dubai - United Arab Emirates","https://www.raapropertiesllc.com/","Real estate consultant",,5,MEDIUM,55,"",,,"realtors Deira Dubai"
"Mohamed Mirza Holiday Homes Rental LLC","+971 58 665 8425","","","Al Khor Building - Office 906 Baniyas Rd - Al Buteen - Deira - Dubai - United Arab Emirates","https://mmt.guestybookings.com/","Holiday apartment rental",,5,MEDIUM,55,"",,,"rental homes Deira Dubai"
"Landtech Vacation Homes","+971 56 773 7979","","","18th St - Naif - Al Murar - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Landtech%20Vacation%20Homes&query_place_id=ChIJgTDdIgBDXz4R1adgN7_3I4U","Apartment building",,4.7,LOW,40,"",,,"rental homes Deira Dubai"
"Eden Springs Homes Rental","+971 55 125 8910","","","RASHEDAN BUILDING - Office-107 16B St - Naif - Deira - Dubai - United Arab Emirates","http://esholiday.com/","Holiday apartment rental",,4.3,MEDIUM,55,"",,,"rental homes Deira Dubai"
"Geometrics Real Estate","+971 58 133 3854","","","Office # 202, Al Rais Building, Karama, Opposite Burjuman Mall - Dubai - United Arab Emirates","http://www.dubaire.com/","Real estate consultant",,5,MEDIUM,55,"",,,"real estate companies Burjuman Dubai"
"RVN Properties","+971 4 335 4796","","","Burjuman Business Tower - Office No. 56, 13th Floor - 13th St - Al Mankhool - Dubai - United Arab Emirates","http://www.rvnproperties.com/","Real estate agent",,5,MEDIUM,55,"",,,"real estate companies Burjuman Dubai"
"fäm Properties","+971 4 369 1700","","","Business Bay Bay Square Al Asayel St Building 13 Floor # 3, Office 304 - Dubai - United Arab Emirates","https://famproperties.com/","Real estate agency",,4.9,HIGH,70,"TARGET_LOCATION",,,"real estate companies Burjuman Dubai"
"SHUKRAN REAL ESTATE","+971 52 817 8809","","","City Tower 2 - Office 1501 Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates","http://www.shukranrealestate.com/","Real estate agent",,4.9,MEDIUM,55,"",,,"real estate companies Burjuman Dubai"
